description,factors,id,location,routes_affected,type,vulnerability_score
Node used by 3 of 3 routes. (Merged cluster of 3 nearby chokepoints covering 3 routes),"['major_intersection', 'dense_or_complex_urban_area', 'common_to_all_routes']",cp_6716420239_cluster_0,"(52.2726471, 4.5761073)","['r_logical', 'r_safest', 'r_shortest']",intersection,9.0
Node used by 3 of 3 routes. (Merged cluster of 2 nearby chokepoints covering 3 routes),"['major_intersection', 'dense_or_complex_urban_area', 'common_to_all_routes']",cp_45971394_cluster_1,"(52.2719926, 4.5749572)","['r_logical', 'r_safest', 'r_shortest']",intersection,9.0
Node used by 3 of 3 routes. (Merged cluster of 2 nearby chokepoints covering 3 routes),"['major_intersection', 'dense_or_complex_urban_area', 'common_to_all_routes']",cp_45965771_cluster_2,"(52.2704477, 4.5723015)","['r_logical', 'r_safest', 'r_shortest']",intersection,9.0
Node used by 3 of 3 routes. (Merged cluster of 6 nearby chokepoints covering 3 routes),"['major_intersection', 'dense_or_complex_urban_area', 'common_to_all_routes']",cp_5486550425_cluster_3,"(52.2690843, 4.5699514)","['r_logical', 'r_safest', 'r_shortest']",intersection,9.0
Node used by 3 of 3 routes. (Merged cluster of 9 nearby chokepoints covering 3 routes),"['major_intersection', 'dense_or_complex_urban_area', 'common_to_all_routes']",cp_13002009742_cluster_4,"(52.2683511, 4.5688675)","['r_logical', 'r_safest', 'r_shortest']",intersection,9.0
Node used by 3 of 3 routes. (Merged cluster of 4 nearby chokepoints covering 3 routes),"['major_intersection', 'dense_or_complex_urban_area', 'common_to_all_routes']",cp_13002009728_cluster_5,"(52.2673892, 4.5684645)","['r_logical', 'r_safest', 'r_shortest']",intersection,9.0
Node used by 3 of 3 routes. (Merged cluster of 3 nearby chokepoints covering 3 routes),"['major_intersection', 'dense_or_complex_urban_area', 'common_to_all_routes']",cp_8395424584_cluster_6,"(52.2661873, 4.5687243)","['r_logical', 'r_safest', 'r_shortest']",intersection,9.0
"Node used by 3 of 3 routes. Factors: common_to_all_routes, major_intersection, dense_or_complex_urban_area.","['common_to_all_routes', 'major_intersection', 'dense_or_complex_urban_area']",cp_6716420236,"(52.2650386, 4.5689928)","['r_logical', 'r_safest', 'r_shortest']",intersection,9.0
"Node used by 3 of 3 routes. Factors: common_to_all_routes, major_intersection, dense_or_complex_urban_area.","['common_to_all_routes', 'major_intersection', 'dense_or_complex_urban_area']",cp_45933096,"(52.2624944, 4.5696163)","['r_logical', 'r_safest', 'r_shortest']",intersection,9.0
Node used by 3 of 3 routes. (Merged cluster of 3 nearby chokepoints covering 3 routes),"['major_intersection', 'dense_or_complex_urban_area', 'common_to_all_routes']",cp_45926210_cluster_9,"(52.26059, 4.5700787)","['r_logical', 'r_safest', 'r_shortest']",intersection,9.0
Node used by 3 of 3 routes. (Merged cluster of 3 nearby chokepoints covering 3 routes),"['major_intersection', 'dense_or_complex_urban_area', 'common_to_all_routes']",cp_45922624_cluster_10,"(52.259635, 4.5701789)","['r_logical', 'r_safest', 'r_shortest']",intersection,9.0
"Node used by 3 of 3 routes. Factors: common_to_all_routes, major_intersection, dense_or_complex_urban_area.","['common_to_all_routes', 'major_intersection', 'dense_or_complex_urban_area']",cp_8579259674,"(52.2578197, 4.5698158)","['r_logical', 'r_safest', 'r_shortest']",intersection,9.0
Node used by 2 of 3 routes. (Merged cluster of 13 nearby chokepoints covering 3 routes),"['dense_or_complex_urban_area', 'shared_by_multiple_routes', 'major_intersection', 'bridge_or_viaduct', 'common_to_all_routes']",cp_4254919868_cluster_12,"(52.2556513, 4.569297)","['r_logical', 'r_safest', 'r_shortest']",intersection,10.0
Node used by 2 of 3 routes. (Merged cluster of 5 nearby chokepoints covering 2 routes),"['major_intersection', 'shared_by_multiple_routes', 'dense_or_complex_urban_area']",cp_10711224379_cluster_13,"(52.2558709, 4.5683203)","['r_logical', 'r_shortest']",intersection,8.0
Node used by 2 of 3 routes. (Merged cluster of 5 nearby chokepoints covering 2 routes),"['major_intersection', 'shared_by_multiple_routes', 'dense_or_complex_urban_area']",cp_10647168128_cluster_14,"(52.2569182, 4.5660797)","['r_logical', 'r_shortest']",intersection,8.0
Node used by 2 of 3 routes. (Merged cluster of 3 nearby chokepoints covering 2 routes),"['major_intersection', 'shared_by_multiple_routes', 'dense_or_complex_urban_area']",cp_45917825_cluster_15,"(52.2584321, 4.5628168)","['r_logical', 'r_shortest']",intersection,8.0
Node used by 2 of 3 routes. (Merged cluster of 4 nearby chokepoints covering 2 routes),"['major_intersection', 'shared_by_multiple_routes', 'dense_or_complex_urban_area']",cp_45914485_cluster_16,"(52.2576918, 4.5618531)","['r_logical', 'r_shortest']",intersection,8.0
Node used by 2 of 3 routes. (Merged cluster of 2 nearby chokepoints covering 2 routes),"['major_intersection', 'shared_by_multiple_routes', 'bridge_or_viaduct']",cp_45701288_cluster_17,"(52.2067904, 4.4920832)","['r_safest', 'r_shortest']",intersection,7.0
"Node used by 2 of 3 routes. Factors: shared_by_multiple_routes, bridge_or_viaduct.","['shared_by_multiple_routes', 'bridge_or_viaduct']",cp_1411595231,"(52.2061462, 4.4904414)","['r_safest', 'r_shortest']",intersection,7.0
"Node used by 2 of 3 routes. Factors: shared_by_multiple_routes, major_intersection.","['shared_by_multiple_routes', 'major_intersection']",cp_45691869,"(52.2050997, 4.4877244)","['r_safest', 'r_shortest']",intersection,7.0
Node used by 2 of 3 routes. (Merged cluster of 6 nearby chokepoints covering 2 routes),"['major_intersection', 'shared_by_multiple_routes', 'dense_or_complex_urban_area']",cp_45307408_cluster_20,"(52.1151663, 4.3736661)","['r_logical', 'r_shortest']",intersection,8.0
"Node used by 2 of 3 routes. Factors: shared_by_multiple_routes, major_intersection, dense_or_complex_urban_area.","['shared_by_multiple_routes', 'major_intersection', 'dense_or_complex_urban_area']",cp_10591942758,"(52.1160098, 4.3726374)","['r_logical', 'r_shortest']",intersection,8.0
Node used by 2 of 3 routes. (Merged cluster of 4 nearby chokepoints covering 2 routes),"['major_intersection', 'shared_by_multiple_routes', 'dense_or_complex_urban_area']",cp_309377093_cluster_22,"(52.1176032, 4.3707876)","['r_logical', 'r_shortest']",intersection,8.0
Node used by 2 of 3 routes. (Merged cluster of 8 nearby chokepoints covering 2 routes),"['major_intersection', 'shared_by_multiple_routes', 'dense_or_complex_urban_area']",cp_45318915_cluster_23,"(52.1174566, 4.3692718)","['r_logical', 'r_shortest']",intersection,8.0
Node used by 2 of 3 routes. (Merged cluster of 6 nearby chokepoints covering 2 routes),"['major_intersection', 'shared_by_multiple_routes', 'dense_or_complex_urban_area']",cp_45320995_cluster_24,"(52.1179438, 4.3678843)","['r_logical', 'r_shortest']",intersection,8.0
Node used by 3 of 3 routes. (Merged cluster of 6 nearby chokepoints covering 3 routes),"['major_intersection', 'shared_by_multiple_routes', 'dense_or_complex_urban_area', 'common_to_all_routes']",cp_1200840426_cluster_25,"(52.0903789, 4.2833534)","['r_logical', 'r_safest', 'r_shortest']",intersection,9.0
Node used by 3 of 3 routes. (Merged cluster of 6 nearby chokepoints covering 3 routes),"['dense_or_complex_urban_area', 'common_to_all_routes']",cp_2752138589_cluster_26,"(52.0912625, 4.2836621)","['r_logical', 'r_safest', 'r_shortest']",intersection,7.0
Node used by 3 of 3 routes. (Merged cluster of 3 nearby chokepoints covering 3 routes),"['dense_or_complex_urban_area', 'common_to_all_routes']",cp_3354971174_cluster_27,"(52.0922915, 4.284104)","['r_logical', 'r_safest', 'r_shortest']",intersection,7.0
Node used by 3 of 3 routes. (Merged cluster of 6 nearby chokepoints covering 3 routes),"['dense_or_complex_urban_area', 'common_to_all_routes']",cp_12416488012_cluster_28,"(52.0932073, 4.284582)","['r_logical', 'r_safest', 'r_shortest']",intersection,7.0
Node used by 3 of 3 routes. (Merged cluster of 3 nearby chokepoints covering 3 routes),"['dense_or_complex_urban_area', 'common_to_all_routes']",cp_1200840367_cluster_29,"(52.0942122, 4.2851684)","['r_logical', 'r_safest', 'r_shortest']",intersection,7.0
Node used by 3 of 3 routes. (Merged cluster of 16 nearby chokepoints covering 3 routes),"['major_intersection', 'shared_by_multiple_routes', 'dense_or_complex_urban_area', 'common_to_all_routes']",cp_1200840398_cluster_30,"(52.0956981, 4.286514)","['r_logical', 'r_safest', 'r_shortest']",intersection,9.0
Node used by 2 of 3 routes. (Merged cluster of 6 nearby chokepoints covering 2 routes),"['shared_by_multiple_routes', 'dense_or_complex_urban_area']",cp_3354971183_cluster_31,"(52.0959243, 4.2870293)","['r_safest', 'r_shortest']",intersection,6.0
Node used by 2 of 3 routes. (Merged cluster of 3 nearby chokepoints covering 2 routes),['shared_by_multiple_routes'],cp_1200840533_cluster_32,"(52.0964647, 4.2887152)","['r_safest', 'r_shortest']",intersection,5.0
Node used by 2 of 3 routes. (Merged cluster of 3 nearby chokepoints covering 2 routes),['shared_by_multiple_routes'],cp_1200840371_cluster_33,"(52.0968817, 4.2904829)","['r_safest', 'r_shortest']",intersection,5.0
Node used by 2 of 3 routes. (Merged cluster of 2 nearby chokepoints covering 2 routes),['shared_by_multiple_routes'],cp_1200840316_cluster_34,"(52.0971905, 4.291896)","['r_safest', 'r_shortest']",intersection,5.0
Node used by 2 of 3 routes. (Merged cluster of 3 nearby chokepoints covering 2 routes),['shared_by_multiple_routes'],cp_1200840418_cluster_35,"(52.0975686, 4.293638)","['r_safest', 'r_shortest']",intersection,5.0
Node used by 2 of 3 routes. (Merged cluster of 3 nearby chokepoints covering 2 routes),"['major_intersection', 'shared_by_multiple_routes']",cp_1200785922_cluster_36,"(52.098189, 4.2961931)","['r_safest', 'r_shortest']",intersection,7.0
Node used by 2 of 3 routes. (Merged cluster of 6 nearby chokepoints covering 2 routes),['shared_by_multiple_routes'],cp_1857858967_cluster_37,"(52.0984154, 4.2975387)","['r_safest', 'r_shortest']",intersection,5.0
Node used by 2 of 3 routes. (Merged cluster of 7 nearby chokepoints covering 2 routes),"['major_intersection', 'shared_by_multiple_routes', 'dense_or_complex_urban_area']",cp_2175480167_cluster_38,"(52.0983817, 4.3001076)","['r_safest', 'r_shortest']",intersection,8.0
Node used by 2 of 3 routes. (Merged cluster of 2 nearby chokepoints covering 2 routes),"['major_intersection', 'shared_by_multiple_routes']",cp_45220485_cluster_39,"(52.0942466, 4.3089249)","['r_safest', 'r_shortest']",intersection,7.0
Node used by 3 of 3 routes. (Merged cluster of 9 nearby chokepoints covering 3 routes),"['major_intersection', 'shared_by_multiple_routes', 'dense_or_complex_urban_area', 'common_to_all_routes']",cp_1164136121_cluster_40,"(52.0926445, 4.3102526)","['r_logical', 'r_safest', 'r_shortest']",intersection,9.0
Node used by 3 of 3 routes. (Merged cluster of 8 nearby chokepoints covering 3 routes),"['major_intersection', 'shared_by_multiple_routes', 'dense_or_complex_urban_area', 'common_to_all_routes']",cp_10698110627_cluster_41,"(52.089881, 4.3124435)","['r_logical', 'r_safest', 'r_shortest']",intersection,9.0
Node used by 3 of 3 routes. Factors: common_to_all_routes.,['common_to_all_routes'],cp_9496445674,"(52.0891608, 4.3129994)","['r_logical', 'r_safest', 'r_shortest']",intersection,6.0
Node used by 3 of 3 routes. (Merged cluster of 6 nearby chokepoints covering 3 routes),"['major_intersection', 'shared_by_multiple_routes', 'dense_or_complex_urban_area', 'common_to_all_routes']",cp_45188005_cluster_43,"(52.0874326, 4.3144678)","['r_logical', 'r_safest', 'r_shortest']",intersection,9.0
Node used by 2 of 3 routes. Factors: shared_by_multiple_routes.,['shared_by_multiple_routes'],cp_1165671780,"(52.0871428, 4.3146993)","['r_safest', 'r_shortest']",intersection,5.0
Node used by 2 of 3 routes. (Merged cluster of 7 nearby chokepoints covering 2 routes),"['major_intersection', 'shared_by_multiple_routes', 'bridge_or_viaduct']",cp_1164135929_cluster_45,"(52.0859237, 4.3156736)","['r_safest', 'r_shortest']",intersection,7.0
Node used by 2 of 3 routes. (Merged cluster of 4 nearby chokepoints covering 2 routes),['shared_by_multiple_routes'],cp_1164136099_cluster_46,"(52.0853206, 4.3161861)","['r_safest', 'r_shortest']",intersection,5.0
Node used by 2 of 3 routes. (Merged cluster of 5 nearby chokepoints covering 2 routes),['shared_by_multiple_routes'],cp_2478059048_cluster_47,"(52.0844894, 4.3169613)","['r_safest', 'r_shortest']",intersection,5.0
Node used by 2 of 3 routes. (Merged cluster of 13 nearby chokepoints covering 2 routes),"['major_intersection', 'shared_by_multiple_routes', 'dense_or_complex_urban_area', 'bridge_or_viaduct']",cp_1164136095_cluster_48,"(52.0834937, 4.3180893)","['r_safest', 'r_shortest']",intersection,8.0
Node used by 2 of 3 routes. (Merged cluster of 4 nearby chokepoints covering 2 routes),"['major_intersection', 'shared_by_multiple_routes', 'dense_or_complex_urban_area']",cp_6519060615_cluster_49,"(52.0826486, 4.3161237)","['r_safest', 'r_shortest']",intersection,8.0
Node used by 2 of 3 routes. (Merged cluster of 9 nearby chokepoints covering 2 routes),"['major_intersection', 'shared_by_multiple_routes', 'dense_or_complex_urban_area']",cp_12592889085_cluster_50,"(52.0821657, 4.314885)","['r_safest', 'r_shortest']",intersection,8.0
Node used by 2 of 3 routes. (Merged cluster of 15 nearby chokepoints covering 3 routes),"['major_intersection', 'shared_by_multiple_routes', 'dense_or_complex_urban_area', 'common_to_all_routes']",cp_6519042432_cluster_51,"(52.0815518, 4.3137276)","['r_logical', 'r_safest', 'r_shortest']",intersection,8.0
Node used by 3 of 3 routes. (Merged cluster of 13 nearby chokepoints covering 3 routes),"['shared_by_multiple_routes', 'dense_or_complex_urban_area', 'common_to_all_routes']",cp_6519030845_cluster_52,"(52.0806463, 4.311329)","['r_logical', 'r_safest', 'r_shortest']",intersection,7.0
Node used by 3 of 3 routes. (Merged cluster of 20 nearby chokepoints covering 3 routes),"['major_intersection', 'shared_by_multiple_routes', 'dense_or_complex_urban_area', 'common_to_all_routes']",cp_442717504_cluster_53,"(52.0801418, 4.3098752)","['r_logical', 'r_safest', 'r_shortest']",intersection,9.0
Node used by 2 of 3 routes. (Merged cluster of 5 nearby chokepoints covering 2 routes),"['major_intersection', 'shared_by_multiple_routes', 'dense_or_complex_urban_area']",cp_1165778397_cluster_54,"(52.0850711, 4.2834779)","['r_logical', 'r_safest']",intersection,8.0
Node used by 2 of 3 routes. (Merged cluster of 7 nearby chokepoints covering 2 routes),"['shared_by_multiple_routes', 'dense_or_complex_urban_area']",cp_1428497160_cluster_55,"(52.0857744, 4.2825088)","['r_logical', 'r_safest']",intersection,6.0
Node used by 2 of 3 routes. (Merged cluster of 6 nearby chokepoints covering 2 routes),"['shared_by_multiple_routes', 'dense_or_complex_urban_area']",cp_6518946493_cluster_56,"(52.0865174, 4.281504)","['r_logical', 'r_safest']",intersection,6.0
Node used by 2 of 3 routes. (Merged cluster of 10 nearby chokepoints covering 2 routes),"['major_intersection', 'shared_by_multiple_routes', 'dense_or_complex_urban_area']",cp_9933716017_cluster_57,"(52.0878895, 4.2804114)","['r_logical', 'r_safest']",intersection,8.0
Node used by 2 of 3 routes. (Merged cluster of 6 nearby chokepoints covering 2 routes),"['major_intersection', 'shared_by_multiple_routes', 'dense_or_complex_urban_area']",cp_1200925921_cluster_58,"(52.088319, 4.2813622)","['r_logical', 'r_safest']",intersection,8.0
Node used by 2 of 3 routes. (Merged cluster of 11 nearby chokepoints covering 2 routes),"['shared_by_multiple_routes', 'dense_or_complex_urban_area']",cp_3354971161_cluster_59,"(52.0888273, 4.2826144)","['r_logical', 'r_safest']",intersection,6.0
